17:00|./Textures/gasse.png|./Music/cafe conection.wav|AR DECODE-#ffffff-17-3-100|Sweet Home;
21:00|./Textures/gasse.png|./Music/mistitieus bells.wav|Times New Roman-#ffffff-24-3-100:Times New Roman-#ffffff-27-2-100:Arial-#ffffff-24-2-100:Arial-#ffffff-20-1.5-100:Arial-#ffffff-24-2-100:Arial-#ffffff-24-3-100:Arial-#ffffff-28-2-100:Modern-#ffffff-40-8-100:Impact-#ffffff-44-0.5-100:Arial-#ffffff-21-2-100:Arial-#ffffff-22-3-100:Arial-#ffffff-23-2-100:Arial-#ffffff-24-2-100:Arial-#ffffff-23-2-100;Endlich raus aus dieser Bar|Komische Typen dort drüben|Einer bewegt sich|Er hat ein Messer!|Ich will keinen Stress sage ich|Mein Geld und die Autoschlüssel|Wenigstens haben sie mir nichts getan|...|Peng|Ich renne|Es kommt vom Parkplatz|Mein Auto|Es brennt und daneben eine Leiche|Der Typ von vorhin;(::)
21:17|./Textures/Autobombe.png|./Music/cafe conection.wav|Times New Roman-#ffffff-30-2-100;Es macht aber keinen sinn;(::)
21:20|./Textures/Autobombe.png|./Music/Truth.wav|Times New Roman-#ffffff-30-2-100:Times New Roman-#ffffff-30-2-100:Times New Roman-#ffffff-30-2-100:Times New Roman-#ffffff-30-2-100;Ich muss das besser untersuchen|Diese Explosionsspuren sind einfach zu stark|War das wirklich Benzin?|Ich muss die Überreste untersuchen lassen;(::)
21:30|./Textures/thinking.png|./Music/cafe conection.wav|Times New Roman-#ffffff-30-5-100:Times New Roman-#ffffff-30-6-100:Times New Roman-#ffffff-50-0.5-100:Times New Roman-#ffffff-50-1-100:Times New Roman-#ffffff-50-1-100:Times New Roman-#ffffff-75-0.5-100:Times New Roman-#ffffff-30-3-100:Times New Roman-#ffffff-30-2.5-100:Times New Roman-#ffffff-35-4-100:Times New Roman-#ffffff-35-3-100:Times New Roman-#ffffff-70-1-100;Steve kann das sicher in seinem Labor untersuchen|Steve denkt, dass es kein Benzin war, Russischer sprengstoff sei es gewesen...|Recherche|Aufbleiben bis in die Nacht|Spuren in verschiedene Richtungen|Komunisten|Warum ruft mich mister Smith mich?|Ich habe doch noch Ferien...|Eine neue mission betreffend des Attentats|Hat zu tun mit so einem...| Sergey Lyadov;(::)
08:30|./Textures/bossroom.png|./Music/truth.wav|Times New Roman-#ffffff-30-3.5-100;Er vermutet, dass ich bereits etwas weiss...|Soll ich es zugeben?(Ja...:Nein, mein Privatleben geht ihn nichts an!:);
08:30|./Textures/bossroom.png|./Music/Truth.wav|Times New Roman-#ffffff-26-2-100:Times New Roman-#ffffff-26-3-100;Er scheint nicht überrascht|Ich wusste es: er hat es bereits geahnt, wenn nicht gewusst;(::)
08:33|./Textures/bossroom.png|./Music/Truth.wav|Times New Roman-#ffffff-30-6-100;Sie hätten eine verbindung zu den dreckigen Komunisten in Russland entdeckt, sagt er...|Als er mir vorschlägt eine Mission auf Moskau zu unternehmen(nehme ich dankend an:lehne ich ab, denn ich will auf eigene Faust recherchieren:);
08:34|./Textures/thinking.png|./Music/cafe conection.wav|Times New Roman-#ffffff-30-6-100;Ich sollte möglichts bald aufbrechen|Es gibt einige Komunisten zu besiegen|Ich werde wohl ein Flug nehmen müssen;(::)
18:27|./Textures/Flugzeug.png|./Music/cafe conection.wav|Times New Roman-#ffffff-30-2-100:Times New Roman-#ffffff-30-2-100:Times New Roman-#ffffff-30-2-100;Ich hasse diese Fliegenden Metallkästen|Moderner schnickschnack|Diese Stuardesse verhält sich irgendwie komisch|Sie ist sicher:(Eine Spionin. Ich muss mich in acht nehmen:Neu hier und kennt sich noch nicht so gut aus:);
09:17|./Textures/zug.png|./Music/mistirieus bells.wav|Times New Roman-#ffffff-30-3.5-100:Times New Roman-#ffffff-30-4-100:Times New Roman-#ffffff-30-4-100;Jetz muss ich wohl den Zug nehmen...|Ich muss mich wieder ans Reisen gewöhnen.|Ich ruhe mich mal bis zur russischen Grenze aus,;(::)
09:19|./Textures/tundra.png|./Music/Truth.wav|Times New Roman-#ffffff-30-4.5-100;Von dort muss ich ja über die trostlose Gegend über die Grenze reiten.;Wenn ich ankomme sollte ich als erstes(Ein CIA Safehouse aufsuchen:Ein Zimmer auf einen fremden Namen buchen:)
19:46|./Textures/safehouse.png|./Music/cafe conection.wav|Times New Roman-#ffffff-30-3.5-100;Recht gut ausgestattet hier...;(::)
19:46|./Textures/hotel.png|./Music/Emerge.wav|Times New Roman-#ffffff-30-6-100;Das ist das schäbigste Hotel das ich seit langem gesehen habe...;(::)
23:26|./Textures/thinking.png|./Music/cafe conection.wav|Times New Roman-#ffffff-30-3.5-100:Times New Roman-#ffffff-30-4.5-100;Jetzt erst mal ausruhen...|Und morgen über Sergej Lyadov informieren!;(::)
14:38|./Textures/gasse.png|./Music/Truth.wav|Times New Roman-#ffffff-40-4-100:Times New Roman-#ffffff-50-0.5-100:Times New Roman-#ffffff-50-0.5-100:Times New Roman-#ffffff-30-5-100:Times New Roman-#ffffff-30-6-100:Times New Roman-#ffffff-30-3.5-100:Times New Roman-#ffffff-30-5-100:Times New Roman-#ffffff-50-1-100:Times New Roman-#ffffff-55-0.5-100:Times New Roman-#ffffff-30-1-100:Times New Roman-#ffffff-30-1-100:Times New Roman-#ffffff-30-1-100;Eine stille Gasse...|Bettler|Arme|Der Informant benimmt sich komisch...|Was weisst du über Sergej Lyadov frage ich ihn,|Seine Antwort kommt nervös,|nachdem ich ihm den Tausender gesteckt habe...|Mein Kopf|Schmerz!|.|..|...;Ich(sollte mich bei der CIA melden, sie können sicher hefen!:muss untertauchen, mein Angreifer denkt sicher ich sei tot.:)
