17:00|./Textures/gasse.png|./Music/Truth.wav|Times New Roman-#fff9e0-17-3-100|Sweet Home;(::)
21:00|./Textures/gasse.png|./Music/mistitieus bells.wav|Times New Roman-#eefcff-24-3-50:Times New Roman-#ff9462-27-2-70:Arial-#000000-24-2-60:Arial-#ff0000-20-1.5-80:Arial-#00aaff-24-2-55:Arial-#fffdf0-24-3-66:Arial-#f6f2ff-28-2-50:Modern-#000000-40-8-80:Impact-#ffffff-44-0.5-100:Arial-#ffddd8-21-2-60:Arial-#ffecd5-22-3-70:Arial-#627aff-23-2-40:Arial-#0509ff-24-2-70:Arial-#ffe6b9-23-2-80;Endlich raus aus dieser Bar|Komische Typen dort drüben|Einer bewegt sich|Er hat ein Messer!|Ich will keinen Stress sage ich|Mein Geld und die Autoschlüssel|Wenigstens haben sie mir nichts getan|qwer|Peng|Ich renne|Es kommt vom Parkplatz|Mein Auto|Es brennt und daneben eine Leiche|Der Typ von vorhin;(::)
21:17|./Textures/Autobombe.png|./Music/Truth.wav|Times New Roman-#ffffe7-30-2-70;Es macht aber nicht sehr viel sinn;(::)
21:20|./Textures/Autobombe.png|./Music/Truth.wav|Times New Roman-#fff5e7-30-2-60:Times New Roman-#fcffd0-30-2-60:Times New Roman-#d9ffdd-30-2-60:Times New Roman-#ffc4c2-30-2-60;Ich muss das besser untersuchen|Diese Explosionsspuren sind einfach zu stark|War das wirklich Benzin?|Ich muss die Überreste untersuchen lassen;(::)
21:30|./Textures/thinking.png|./Music/cafe conection.wav|Times New Roman-#fffcee-30-5-80:Times New Roman-#fffee9-30-6-80:Times New Roman-#fffff9-50-0.5-55:Times New Roman-#fffeed-50-1-55:Times New Roman-#fffde1-50-1-55:Times New Roman-#ffffeb-75-0.5-100:Times New Roman-#ffffe4-30-3-70:Times New Roman-#fffee4-30-2.5-70:Times New Roman-#ffffe5-35-4-80:Times New Roman-#fff7ed-35-3-70:Times New Roman-#faffe7-70-1-60;Steve kann das sicher in seinem Labor untersuchen|Steve denkt, dass es kein Benzin war, Russischer sprengstoff sei es gewesen...|Recherche|Aufbleiben bis in die Nacht|Spuren in verschiedene Richtungen|Komunisten|Warum ruft mich mister Smith mich?|Ich habe doch noch Ferien...|Eine neue mission betreffend des Attentats|Hat zu tun mit so einem...| Sergey Lyadov;(::)
08:30|./Textures/bossroom.png|./Music/truth.wav|Times New Roman-#fffcee-30-3.5-65;Er vermutet, dass ich bereits etwas weiss...|Soll ich es zugeben?;(::)
08:30|./Textures/bossroom.png|./Music/Truth.wav|Times New Roman-#e9ffeb-26-2-60:Times New Roman-#ffedff-26-3-50;Er scheint nicht überrascht|Ich wusste es: er hat es bereits geahnt, wenn nicht gewusst;(::)
08:33|./Textures/bossroom.png|./Music/Truth.wav|Times New Roman-#000000-30-6-70;Sie hätten eine verbindung zu den dreckigen Komunisten in Russland entdeckt, sagt er...|Als er mir vorschlägt eine Mission auf Moskau zu unternehmen(nehme ich dankend an:lehne ich ab, denn ich will auf eigene Faust recherchieren:);(::)
08:34|./Textures/thinking.png|./Music/cafe conection.wav|Times New Roman-#000000-30-6-70;Ich sollte möglichts bald aufbrechen|Es gibt einige Komunisten zu besiegen|Ich werde wohl ein Flug nehmen müssen;(::)
18:27|./Textures/Flugzeug.png|./Music/cafe conection.wav|Times New Roman-#000000-30-2-75:Times New Roman-#000000-30-2-75:Times New Roman-#000000-30-2-75;Ich hasse diese Fliegenden Metallkästen|Moderner schnickschnack|Diese Stuardesse verhält sich irgendwie komisch|Sie ist sicher:(Eine Spionin. Ich muss mich in acht nehmen:Neu hier und kennt sich noch nicht so gut aus:);(::)
09:17|./Textures/zug.png|./Music/mistirieus bells.wav|Times New Roman-#000000-30-3.5-75:Times New Roman-#000000-30-4-75:Times New Roman-#000000-30-4-80;Jetz muss ich wohl den Zug nehmen...|Ich muss mich wieder ans Reisen gewöhnen.|Ich ruhe mich mal bis zur russischen Grenze aus,;(::)
09:19|./Textures/tundra.png|./Music/Truth.wav|Times New Roman-#000000-30-4.5-75;Von dort muss ich ja über die trostlose Gegend über die Grenze reiten.;Wenn ich ankomme sollte ich als erstes(Ein CIA Safehouse aufsuchen:Ein Zimmer auf einen fremden Namen buchen:)
19:46|./Textures/safehouse.png|./Music/cafe conection.wav|Times New Roman-#000000-30-3.5-75;Recht gut ausgestattet hier...;(::)
19:46|./Textures/hotel.png|./Music/Emerge.wav|Times New Roman-#000000-30-6-65;Das ist das schäbigste Hotel das ich seit langem gesehen habe...;(::)
00:00|./Textures/thinking.png|./Music/cafe conection.wav|Times New Roman-#000000-30-3.5-75:Times New Roman-#000000-30-4.5-75;Jetzt erst mal ausruhen...|Und morgen über Sergej Lyadov informieren!00:00|./Textures/gasse.png|./Music/Truth.wav|Times New Roman-#000000-40-4-75:Times New Roman-#000000-50-0.5-75:Times New Roman-#000000-50-0.5-75:Times New Roman-#000000-30-5-75:Times New Roman-#000000-30-6-75:Times New Roman-#000000-30-3.5-75:Times New Roman-#000000-30-5-75:Times New Roman-#000000-50-1-75:Times New Roman-#000000-55-0.5-75:Times New Roman-#000000-30-1-75:Times New Roman-#000000-30-1-75:Times New Roman-#000000-30-1-75;Eine stille Gasse...|Bettler|Arme|Der Informant benimmt sich komisch...|Was weisst du über Sergej Lyadov frage ich ihn,|Seine Antwort kommt nervös,|nachdem ich ihm den Tausender gesteckt habe...|Mein Kopf|Schmerz!|.|..|...;Ich(sollte mich bei der CIA melden, sie können sicher hefen!:muss untertauchen, mein Angreifer denkt sicher ich sei tot.:)